MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass,After oil spill
3.68E+08,2022-12-07T00:00:02,39.8363,-79.924,0,360,170,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.67E+08,2022-12-07T00:00:07,39.83967,-124.925,10.7,349.2,347,MOOKDA NAREE,IMO9354741,HSIM,70,0,178,28,9.8,70,A,1
3.67E+08,2022-12-07T00:00:06,39.84597,-75.2685,0,263.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:00:04,39.84563,-75.2705,0,260.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:00:35,39.84541,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,5,243,42,14.6,80,A,1
5.67E+08,2022-12-07T00:01:17,39.84306,-124.926,10.7,347.1,344,MOOKDA NAREE,IMO9354741,HSIM,70,0,178,28,9.8,70,A,1
3.68E+08,2022-12-07T00:01:12,39.8363,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:00:07,39.84837,-72.369,3.4,198.8,190,ANYA JO,IMO7047942,WDE4200,30,0,24,6,,99,A,1
3.67E+08,2022-12-07T00:00:53,39.84635,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T00:01:14,39.8456,-75.2705,0,253.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
6.36E+08,2022-12-07T00:02:02,39.836,-73.595,0.1,206,150,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T00:02:25,39.84559,-75.2705,0,247.7,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:03:26,39.84555,-75.2705,0,246.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:03:32,39.84543,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,5,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:03:52,39.84638,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
5.67E+08,2022-12-07T00:03:27,39.84914,-124.928,10.6,339.8,339,MOOKDA NAREE,IMO9354741,HSIM,70,0,178,28,9.8,70,A,1
3.67E+08,2022-12-07T00:03:37,39.84597,-75.2686,0,265.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:01:18,39.84597,-75.2685,0.1,268.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:02:22,39.83629,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.67E+08,2022-12-07T00:02:26,39.84637,-124.927,10.6,343,340,MOOKDA NAREE,IMO9354741,HSIM,70,0,178,28,9.8,70,A,1
3.67E+08,2022-12-07T00:02:28,39.84597,-75.2686,0.1,252,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:04:47,39.84598,-75.2686,0.1,69.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:04:34,39.8456,-75.2705,0,239.6,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:04:34,39.84543,-75.2706,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:03:33,39.83629,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T00:04:27,39.84214,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T00:04:52,39.83628,-79.9239,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
5.64E+08,2022-12-07T00:06:55,39.84542,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:05:45,39.84556,-75.2705,0.1,229.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:05:44,39.84542,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:06:54,39.84634,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.68E+08,2022-12-07T00:06:03,39.83628,-79.9239,0,360,168,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:05:56,39.846,-75.2686,0,257.2,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:08:05,39.84563,-75.2705,0,213.3,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:07:12,39.83629,-79.9239,0,360,168,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T00:07:27,39.84213,-74.1495,0.1,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.68E+08,2022-12-07T00:08:22,39.83628,-79.9239,0,360,168,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
6.36E+08,2022-12-07T00:05:04,39.83585,-73.5951,0.3,217,149,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.67E+08,2022-12-07T00:09:52,39.84636,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
5.64E+08,2022-12-07T00:08:05,39.84541,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
5.64E+08,2022-12-07T00:09:15,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:09:28,39.846,-75.2686,0,265.2,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:09:33,39.83629,-79.9239,0,360,168,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:10:25,39.84559,-75.2705,0.1,199.7,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:09:14,39.84559,-75.2705,0,218.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:06:54,39.84557,-75.2705,0,215.8,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:11:34,39.84557,-75.2705,0.1,173.4,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.38E+08,2022-12-07T00:10:27,39.84213,-74.1495,0,360,90,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
6.36E+08,2022-12-07T00:11:03,39.83557,-73.5956,0.2,238,137,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
3.68E+08,2022-12-07T00:10:42,39.83628,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.68E+08,2022-12-07T00:11:45,39.83587,-75.3602,7.6,49.3,48,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:07:07,39.84597,-75.2686,0,261.3,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:11:57,39.846,-75.2686,0,251.6,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:08:16,39.84598,-75.2686,0,253.1,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:11:34,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
2.13E+08,2022-12-07T00:12:14,39.83792,-125.494,12.5,337.1,336,PANAGIA THALASSINI,IMO9730335,5BNP4,80,0,,,,82,A,1
3.67E+08,2022-12-07T00:12:52,39.84636,-75.2657,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T00:13:54,39.84555,-75.2705,0,193.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.67E+08,2022-12-07T00:12:46,39.84559,-75.2705,0.1,178.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
2.13E+08,2022-12-07T00:13:24,39.84163,-125.496,12.6,336.2,336,PANAGIA THALASSINI,IMO9730335,5BNP4,80,0,,,,82,A,1
6.36E+08,2022-12-07T00:14:04,39.83553,-73.5957,0,237,128,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
5.64E+08,2022-12-07T00:10:25,39.84541,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:10:47,39.84598,-75.2686,0,252.9,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
5.64E+08,2022-12-07T00:12:45,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:14:16,39.846,-75.2686,0,198.9,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.38E+08,2022-12-07T00:13:26,39.84213,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
3.67E+08,2022-12-07T00:15:05,39.84557,-75.2705,0,209.1,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
5.64E+08,2022-12-07T00:13:55,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:15:27,39.84598,-75.2686,0,254.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:12:57,39.83736,-75.3577,7.5,55.3,52,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:14:05,39.83868,-75.355,7.6,57.6,53,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:16:27,39.84139,-75.3495,7.8,57.2,53,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.38E+08,2022-12-07T00:16:27,39.84213,-74.1495,0,360,89,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
5.64E+08,2022-12-07T00:15:05,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
5.64E+08,2022-12-07T00:16:14,39.84541,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.67E+08,2022-12-07T00:14:04,39.83914,-71.2906,7.1,90.3,88,FRANCES ANNE,,WDE8555,30,,20,5,,,B,1
3.68E+08,2022-12-07T00:15:16,39.84004,-75.3523,7.7,57.8,53,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:15:51,39.84637,-75.2656,0,233.9,255,SKIPJACK,IMO9503847,WDG9752,31,5,35,11,4.7,57,A,1
3.67E+08,2022-12-07T00:17:25,39.84557,-75.2705,0.1,179.6,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
3.68E+08,2022-12-07T00:11:53,39.83628,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:17:47,39.84598,-75.2686,0,228.4,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.67E+08,2022-12-07T00:16:15,39.84559,-75.2705,0,179.5,511,CAPT HARRY,IMO9266401,WDC3690,31,0,24,9,4,52,A,1
2.13E+08,2022-12-07T00:16:01,39.84905,-125.501,12.7,336.8,336,PANAGIA THALASSINI,IMO9730335,5BNP4,80,0,,,,82,A,1
3.67E+08,2022-12-07T00:16:37,39.84598,-75.2686,0,212.7,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
6.36E+08,2022-12-07T00:17:03,39.8356,-73.5955,0.2,83,125,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
5.64E+08,2022-12-07T00:17:25,39.8454,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:18:46,39.84408,-75.3439,7.8,60.4,59,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.68E+08,2022-12-07T00:16:33,39.83628,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.38E+08,2022-12-07T00:19:27,39.84212,-74.1495,0,360,511,WOOD PILE,IMO0000000,,37,,26,6,,,B,1
6.36E+08,2022-12-07T00:20:02,39.83568,-73.5952,0.3,67,128,PORTO KAGIO,IMO9261451,5LBC6,71,1,279,40,10.8,70,A,1
5.64E+08,2022-12-07T00:18:34,39.84539,-75.2705,0,149.2,76,EAGLE KLANG,IMO9417892,9V8640,80,0,243,42,14.6,80,A,1
3.68E+08,2022-12-07T00:17:36,39.84277,-75.3468,7.8,57.2,55,RED HOOK,IMO9650717,WDG6782,31,0,28,9,3.6,31,A,1
3.67E+08,2022-12-07T00:20:06,39.846,-75.2686,0,240.5,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:18:52,39.83628,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
3.67E+08,2022-12-07T00:13:06,39.84598,-75.2686,0,249.8,511,MADELINE,,WDE3220,31,0,23,9,,52,A,1
3.68E+08,2022-12-07T00:13:03,39.83629,-79.924,0,360,169,MARY ROSE,,WDI6668,31,0,21,,,31,A,1
